Year,Canola,region,average_max_temp_in_4,average_max_temp_in_5,average_max_temp_in_6,average_max_temp_in_7,average_max_temp_in_8,average_max_temp_in_9,average_max_temp_in_10,days_above_25,days_under_0,longest_dry_spell,longest_wet_spell,days_over_95_precipitation,longest_heat_wave,longest_cold_wave,SPI_in_4,SPI_in_5,SPI_in_6,SPI_in_7,SPI_in_8,SPI_in_9,SPI_in_10,Region,Soil Zone
1990,0.12713164767097496,1,284.96575927734375,290.5264892578125,297.08245849609375,299.41278076171875,300.7520751953125,296.7913818359375,286.036376953125,72,0,7,11,11,7,5,0.0915789705398507,0.0291081838356805,0.1152364795610737,0.2092419465728784,0.2569683016472784,0.1719608163001244,-0.0329096060304912,1.0,1.0
1991,2.520377907640693,1,287.6483459472656,291.9846496582031,296.8544006347656,297.65234375,299.9387512207031,292.5435485839844,282.32196044921875,51,4,6,13,18,6,4,0.3312098436890643,0.3317674803263759,0.1951632240308665,0.2826964099276625,0.2224391325631817,0.3986974561127261,0.2329947417104457,1.0,1.0
1992,-6.339488724824015,1,283.2425842285156,293.7018737792969,295.4457092285156,294.5481262207031,297.03326416015625,292.22900390625,285.50396728515625,37,2,7,11,8,5,7,0.1442304237148802,0.1931600016020491,-0.1881893736948186,0.3587082671669909,0.3098463905848192,0.2255386194493615,-0.1145476391599502,1.0,1.0
1993,4.147971178417944,1,284.6971130371094,292.7626953125,293.4253845214844,294.03741455078125,296.17742919921875,291.0312805175781,284.688232421875,26,1,6,14,10,5,5,0.1152395349014107,-0.0521288309800207,0.0861203076653776,0.6081849197290304,0.2630073013628146,0.2353749835792142,-0.0449341142157825,1.0,1.0
1994,2.0817332463105984,1,285.1444396972656,293.43267822265625,294.7745361328125,297.06195068359375,297.072021484375,294.9038391113281,286.0520935058594,38,0,9,15,16,3,6,-0.0639900792628063,0.1140895509373248,0.4460203779904602,0.1024914073355463,0.3203037759198296,0.034789390989832,0.3221641641529142,1.0,1.0
1995,-5.037617578231172,1,281.1039733886719,290.16595458984375,297.3934631347656,298.0068359375,299.81903076171875,292.9369201660156,284.0141906738281,55,2,7,25,15,8,4,0.2570980166796558,0.300237959121765,0.003553730580807,0.4707352943914081,0.0452712247033316,-0.0616907795048594,0.28645549161675,1.0,1.0
1996,-1.6100812952073618,1,278.7251281738281,288.2513427734375,296.5049743652344,296.5752868652344,300.4574890136719,292.1609802246094,284.0166320800781,51,8,9,15,10,4,3,0.5682141525652373,0.0430289576887286,0.0639890053000242,0.4557704952552605,0.0477386352716637,0.2624036728026884,0.212893841615746,1.0,1.0
1997,-2.835800934242677,1,280.4681701660156,289.7154541015625,298.4510192871094,298.6541442871094,299.6697692871094,295.6950988769531,285.30487060546875,68,7,7,21,13,4,7,0.2135670121905934,0.0865156433698133,-0.3122847805428314,0.402175439560919,0.2221970922525765,0.0020144219755808,0.3034461915075224,1.0,1.0
1998,5.485364049138486,1,287.6976318359375,292.430908203125,292.4619140625,298.3300476074219,299.7948303222656,295.6307678222656,285.4971923828125,54,0,9,33,11,3,7,0.1481259247822555,0.1780088661221657,0.4807865142402552,0.0939682076274903,0.3734744237414464,-0.0556464102778174,0.1908408508193706,1.0,1.0
1999,3.85341614008523,1,284.3354187011719,289.9748229980469,293.8353271484375,297.5675048828125,297.9429626464844,291.09393310546875,284.5204162597656,34,1,7,16,22,2,3,-0.0326894875384489,0.6058662123663666,0.1263403134479863,0.2696974446168834,0.2517802987921217,0.3102261711324762,0.0449196652838125,1.0,1.0
